ts_iso,tMono_s,kind,accLong_ms2,accLat_ms2,accVert_ms2,lat,lng,speed_ms,gpsAcc_m
2026-05-01T19:10:21.502Z,9562.099110,imu,0.848768,1.361888,1.934354,,,,
2026-05-01T19:10:21.512Z,9562.109058,imu,0.753636,1.275933,2.222271,,,,
2026-05-01T19:10:21.523Z,9562.119189,imu,0.374020,1.052192,2.175537,,,,
2026-05-01T19:10:21.532Z,9562.129018,imu,-0.176289,0.693866,1.922452,,,,
2026-05-01T19:10:21.542Z,9562.138723,imu,-0.762482,0.312358,1.528791,,,,
2026-05-01T19:10:21.552Z,9562.149052,imu,-1.192910,-0.021627,1.333009,,,,
2026-05-01T19:10:21.562Z,9562.158794,imu,-1.381733,-0.213959,1.469203,,,,
2026-05-01T19:10:21.572Z,9562.168786,imu,-1.326478,-0.360368,1.857033,,,,
2026-05-01T19:10:21.582Z,9562.178861,imu,-1.117163,-0.493136,2.241104,,,,
2026-05-01T19:10:21.592Z,9562.188913,imu,-0.806466,-0.510760,2.494768,,,,
2026-05-01T19:10:21.602Z,9562.198588,imu,-0.541945,-0.495198,2.621995,,,,
2026-05-01T19:10:21.612Z,9562.208739,imu,-0.377702,-0.564562,2.658503,,,,
2026-05-01T19:10:21.622Z,9562.218508,imu,-0.347777,-0.644534,2.650524,,,,
2026-05-01T19:10:21.632Z,9562.228588,imu,-0.410486,-0.670798,2.573880,,,,
2026-05-01T19:10:21.642Z,9562.239100,imu,-0.466803,-0.645249,2.507976,,,,
2026-05-01T19:10:21.652Z,9562.248453,imu,-0.560584,-0.616551,2.462396,,,,
2026-05-01T19:10:21.662Z,9562.258260,imu,-0.642280,-0.552514,2.573037,,,,
2026-05-01T19:10:21.672Z,9562.268236,imu,-0.557212,-0.436690,2.753617,,,,
2026-05-01T19:10:21.682Z,9562.278527,imu,-0.472028,-0.351804,2.853398,,,,
2026-05-01T19:10:21.692Z,9562.288167,imu,-0.368028,-0.350441,2.823979,,,,
2026-05-01T19:10:21.701Z,9562.298150,imu,-0.261950,-0.350137,2.678608,,,,
2026-05-01T19:10:21.711Z,9562.307976,imu,-0.189437,-0.333894,2.510406,,,,
2026-05-01T19:10:21.721Z,9562.317898,imu,-0.115623,-0.308039,2.284203,,,,
2026-05-01T19:10:21.731Z,9562.327994,imu,-0.045898,-0.186684,1.935604,,,,
2026-05-01T19:10:21.741Z,9562.337959,imu,0.001238,-0.163301,1.529147,,,,
2026-05-01T19:10:21.751Z,9562.347909,imu,0.005877,-0.200141,1.012890,,,,
2026-05-01T19:10:21.761Z,9562.357789,imu,-0.056786,-0.165144,0.474016,,,,
2026-05-01T19:10:21.771Z,9562.367749,imu,-0.195747,-0.043284,0.010738,,,,
2026-05-01T19:10:21.781Z,9562.377701,imu,-0.435814,-0.021891,-0.216412,,,,
2026-05-01T19:10:21.791Z,9562.387898,imu,-0.624301,-0.186737,-0.422938,,,,
2026-05-01T19:10:21.801Z,9562.397575,imu,-0.650473,-0.369912,-0.865593,,,,
2026-05-01T19:10:21.811Z,9562.407510,imu,-0.530562,-0.527678,-1.615668,,,,
2026-05-01T19:10:21.821Z,9562.417661,imu,-0.288951,-0.596052,-2.348654,,,,
2026-05-01T19:10:21.831Z,9562.427407,imu,-0.076145,-0.642336,-2.962432,,,,
2026-05-01T19:10:21.841Z,9562.437411,imu,0.080658,-0.589315,-3.232385,,,,
2026-05-01T19:10:21.851Z,9562.447332,imu,0.158567,-0.496228,-3.155785,,,,
2026-05-01T19:10:21.861Z,9562.457328,imu,0.032304,-0.169629,-2.720976,,,,
2026-05-01T19:10:21.871Z,9562.467258,imu,-0.217659,0.350713,-2.043998,,,,
2026-05-01T19:10:21.880Z,9562.477108,imu,-0.510102,0.533092,-1.112637,,,,
2026-05-01T19:10:21.891Z,9562.487163,imu,-0.792133,0.537675,-0.268397,,,,
2026-05-01T19:10:21.900Z,9562.497101,imu,-0.868731,0.767399,0.232319,,,,
2026-05-01T19:10:21.910Z,9562.506925,imu,-0.764307,1.041829,0.432930,,,,
2026-05-01T19:10:21.920Z,9562.516910,imu,-0.499967,0.850688,0.362328,,,,
2026-05-01T19:10:21.930Z,9562.526888,imu,-0.239061,0.163852,-0.364308,,,,
2026-05-01T19:10:21.940Z,9562.536820,imu,-0.211841,-0.345377,-1.869659,,,,
2026-05-01T19:10:21.950Z,9562.546975,imu,-0.269492,-0.481193,-3.288706,,,,
2026-05-01T19:10:21.960Z,9562.556696,imu,-0.198332,-0.593279,-4.270897,,,,
2026-05-01T19:10:21.970Z,9562.566702,imu,-0.191358,-0.486571,-4.687281,,,,
2026-05-01T19:10:21.980Z,9562.576596,imu,-0.149732,-0.179895,-4.195582,,,,
2026-05-01T19:10:21.990Z,9562.586644,imu,0.044303,0.011488,-3.110567,,,,
2026-05-01T19:10:22.000Z,9562.596552,imu,0.274750,0.209068,-1.954110,,,,
2026-05-01T19:10:22.010Z,9562.606357,imu,0.426231,0.417165,-1.138813,,,,
2026-05-01T19:10:22.020Z,9562.616413,imu,0.455245,0.377141,-0.885120,,,,
2026-05-01T19:10:22.030Z,9562.626204,imu,0.422568,0.251050,-0.967064,,,,
